number,num_trans,lat,lon
708,,51.542852,-0.497217
709,6.0,51.542852,-0.497217
710,,55.8443,-4.5041
711,,55.8443,-4.5041
712,1.0,55.8443,-4.5041
713,,53.329656,-1.457899
714,,53.329656,-1.457899
715,1.0,53.329656,-1.457899
716,,55.8905,-3.1634
717,,55.8905,-3.1634
718,1.0,55.8905,-3.1634
719,,53.59722,-0.75792
720,,53.59722,-0.75792
721,4.0,53.59722,-0.75792
722,,53.53814,-2.358225
723,,53.53814,-2.358225
724,,53.53814,-2.358225
725,,53.53814,-2.358225
726,4.0,53.53814,-2.358225
727,,57.54029722222222,-2.9386055555555557
728,,57.54029722222222,-2.9386055555555557
729,,57.54029722222222,-2.9386055555555557
730,3.0,57.54029722222222,-2.9386055555555557
731,,51.3691,0.73969
732,,51.3691,0.73969
733,4.0,51.3691,0.73969
734,,55.1608,-4.1805
735,,55.1608,-4.1805
736,1.0,55.1608,-4.1805
737,,53.47003,-2.84747
738,,53.47003,-2.84747
739,3.0,53.47003,-2.84747
740,,55.9033,-4.3099
741,,55.9033,-4.3099
742,1.0,55.9033,-4.3099
743,,56.4754,-4.3245
744,,56.4754,-4.3245
745,1.0,56.4754,-4.3245
746,,55.9047,-4.4121
747,,55.9047,-4.4121
748,,55.9047,-4.4121
749,2.0,55.9047,-4.4121
750,,55.04847777777778,-4.768913888888889
751,,55.04847777777778,-4.768913888888889
752,2.0,55.04847777777778,-4.768913888888889
753,,56.714672,-4.95435
754,,56.714672,-4.95435
755,1.0,56.714672,-4.95435
756,,55.5796,-4.456
757,,55.5796,-4.456
758,,55.5796,-4.456
759,,55.5796,-4.456
760,3.0,55.5796,-4.456
761,,55.5931,-4.487
762,,55.5931,-4.487
763,1.0,55.5931,-4.487
764,,55.664,-4.6781
765,,55.664,-4.6781
766,1.0,55.664,-4.6781
767,,51.41818,0.59879
768,,51.41818,0.59879
769,1.0,51.41818,0.59879
770,,57.21882222222222,-2.380830555555556
771,,57.21882222222222,-2.380830555555556
772,,57.21882222222222,-2.380830555555556
773,3.0,57.21882222222222,-2.380830555555556
774,,57.46259,-4.513
775,,57.46259,-4.513
776,1.0,57.46259,-4.513
777,,53.80583,-1.59684
778,,53.80583,-1.59684
779,3.0,53.80583,-1.59684
780,,52.431688,-2.013277
781,,52.431688,-2.013277
782,2.0,52.431688,-2.013277
783,,54.034771,-1.486459
784,,54.034771,-1.486459
785,1.0,54.034771,-1.486459
786,,57.4236,-4.2462
787,,57.4236,-4.2462
788,1.0,57.4236,-4.2462
789,,55.6270111111111,-4.05803055555555
790,,55.6270111111111,-4.05803055555555
791,1.0,55.6270111111111,-4.05803055555555
792,,54.565917,-1.132965
793,,54.565917,-1.132965
794,,54.565917,-1.132965
795,5.0,54.565917,-1.132965
796,,51.423919,-0.470513
797,,51.423919,-0.470513
798,2.0,51.423919,-0.470513
799,,50.44432,-4.2421
800,,50.44432,-4.2421
801,2.0,50.44432,-4.2421
802,,53.02752,-3.05219
803,,53.02752,-3.05219
804,4.0,53.02752,-3.05219
805,,52.2075,1.6079
806,,52.2075,1.6079
807,1.0,52.2075,1.6079
808,,56.2078,-2.9972
809,,56.2078,-2.9972
810,1.0,56.2078,-2.9972
811,,55.905,-3.5019
812,,55.905,-3.5019
813,1.0,55.905,-3.5019
814,,55.6713,-3.8263
815,,55.6713,-3.8263
816,1.0,55.6713,-3.8263
817,,53.418938,-2.92394
818,,53.418938,-2.92394
819,2.0,53.418938,-2.92394
820,,51.46518,0.23863
821,,51.46518,0.23863
822,,51.46518,0.23863
823,3.0,51.46518,0.23863
824,,57.9495,-4.2751
825,,57.9495,-4.2751
826,1.0,57.9495,-4.2751
827,,56.4826,-4.3595
828,,56.4826,-4.3595
829,1.0,56.4826,-4.3595
830,,50.91702,-1.04115
831,,50.91702,-1.04115
832,2.0,50.91702,-1.04115
833,,57.57551389,-4.689219
834,,57.57551389,-4.689219
835,1.0,57.57551389,-4.689219
836,,56.6544,-2.865
837,,56.6544,-2.865
838,1.0,56.6544,-2.865
839,,56.481063,-3.017
840,,56.481063,-3.017
841,1.0,56.481063,-3.017
842,,53.26858,-2.12055
843,,53.26858,-2.12055
844,,53.26858,-2.12055
845,2.0,53.26858,-2.12055
846,,57.6594,-2.491
847,,57.6594,-2.491
848,1.0,57.6594,-2.491
849,,51.56326,-3.75412
850,,51.56326,-3.75412
851,1.0,51.56326,-3.75412
852,,55.137372,-4.7672
853,,55.137372,-4.7672
854,,55.137372,-4.7672
855,1.0,55.137372,-4.7672
856,,50.84717,-1.89484
857,,50.84717,-1.89484
858,3.0,50.84717,-1.89484
859,,55.34214722222222,-4.685316666666667
860,,55.34214722222222,-4.685316666666667
861,1.0,55.34214722222222,-4.685316666666667
862,,57.0323389,-4.53381666666666
863,,57.0323389,-4.53381666666666
864,1.0,57.0323389,-4.53381666666666
865,,51.39294,-2.14943
866,,51.39294,-2.14943
867,,51.39294,-2.14943
868,3.0,51.39294,-2.14943
869,,55.51610278,-3.808797
870,,55.51610278,-3.808797
871,1.0,55.51610278,-3.808797
872,,56.4686,-2.917
873,,56.4686,-2.917
874,1.0,56.4686,-2.917
875,,51.61765,-0.20891
876,,51.61765,-0.20891
877,2.0,51.61765,-0.20891
878,,57.1089638888888,-4.79048333333333
879,,57.1089638888888,-4.79048333333333
880,1.0,57.1089638888888,-4.79048333333333
881,,57.134,-4.832
882,,57.134,-4.832
883,1.0,57.134,-4.832
884,,51.60704,-2.00284
885,,51.60704,-2.00284
886,2.0,51.60704,-2.00284
887,,55.33251944444445,-3.4815583333333335
888,,55.33251944444445,-3.4815583333333335
889,,55.33251944444445,-3.4815583333333335
890,2.0,55.33251944444445,-3.4815583333333335
891,,53.75722,-1.26726
892,,53.75722,-1.26726
