Population,Easting,Northing
<0.15,318864.9835692866,671055.1621694101
0.3-0.45,647291.2842786926,263596.2923692097
0.3-0.45,526941.7620553856,182494.7130046413
0.15-0.3,433405.0458553831,431381.86313138553
0.3-0.45,381797.6291612152,391630.08269905054
<0.15,335462.3075754799,668782.4225535154
<0.15,224492.9267777841,674952.9432144507
0.15-0.3,428687.04913903907,534596.8678005354
0.15-0.3,435335.35636907007,564462.862876206
0.15-0.3,335134.71316764934,442994.6204254315
0.3-0.45,397125.942968954,399456.9392568999
0.15-0.3,475869.68816922547,353982.43489873054
0.15-0.3,416512.1439499292,564803.6422803834
<0.15,269539.9123970036,652985.7944030291
<0.15,281050.926419406,693090.5866847006
<0.15,239227.9236764333,675648.7636272812
0.15-0.3,464009.8869264628,340734.56723601447
<0.15,279233.6439397954,907094.5309042676
<0.15,395913.7563680908,855130.9203365502
<0.15,284267.81079296884,964923.5830619836
0.15-0.3,426506.1110933338,399100.2883178087
0.45-0.6,503024.3384256939,227522.7461235909
0.15-0.3,264623.8145861962,200082.76635340654
<0.15,352423.5260919806,807011.2839723029
0.15-0.3,319200.074131969,124800.2540317789
<0.15,201914.56706006575,731062.048054983
<0.15,339942.0580661334,736910.8294260537
<0.15,322604.30654969905,674971.9386624672
0.15-0.3,440909.4250634381,390753.83855435695
0.15-0.3,460504.7127468518,409540.7890388546
<0.15,312309.8660130991,965894.95631571
0.15-0.3,448763.6602305671,390053.95870236313
0.3-0.45,566145.6365035895,176054.76941758633
0.15-0.3,440346.5872580329,389553.22036988754
<0.15,457139.66075724794,523866.03694373404
<0.15,270034.4598041455,552959.319185585
<0.15,373881.7860960922,673190.3559767432
0.3-0.45,535272.7514989311,191235.86643510277
<0.15,269199.99189866026,338400.0536821493
0.15-0.3,321599.69402508077,176500.07092031947
<0.15,276935.96613433235,759132.8397738017
0.15-0.3,432099.372480949,570023.9434031948
0.15-0.3,310008.2315809424,186949.03049836558
0.15-0.3,332306.4665007363,183600.18825735303
0.3-0.45,382637.2909394046,220106.85743636882
0.3-0.45,548591.1315732251,316534.88065996894
0.3-0.45,537504.3949759636,203626.95389478625
0.3-0.45,559602.4709741112,186277.57514373958
0.3-0.45,345794.02700795676,407655.2964721678
0.45-0.6,510519.71342774905,194991.85842198133
0.15-0.3,434000.28588292515,560799.7022581684
0.15-0.3,479467.627857733,385528.51922312664
<0.15,371726.4909257094,672124.0992361205
<0.15,319616.3879905178,697437.3813100467
<0.15,258400.3107014111,665586.8108438876
0.3-0.45,538993.7478335521,181994.0472176032
0.3-0.45,388980.2126391842,403599.8930449646
<0.15,325159.5352536494,671442.3621451088
0.15-0.3,337114.55927309796,185541.48028413445
<0.15,223348.4538959267,692176.4875897338
0.15-0.3,439051.431713473,391184.1467409509
0.3-0.45,396010.6966825963,297707.1820575078
0.3-0.45,430099.786681739,328700.1681261611
<0.15,456251.67096083506,520428.09108873736
0.45-0.6,526016.9970256609,171773.0000427856
<0.15,394224.52647684014,806995.9139857744
0.3-0.45,520981.256111745,183180.66348448815
<0.15,279119.3970942431,653955.9244445316
<0.15,251693.81172268523,673141.2488745346
<0.15,258442.67919057817,647452.2330166603
<0.15,273387.4906741563,661714.4349815188
0.3-0.45,520981.256111745,183180.66348448815
0.15-0.3,441430.1339053013,400754.07322342583
<0.15,391248.0813571155,807045.765421861
0.3-0.45,559056.6149724844,177072.13434581656
0.45-0.6,505940.3696140095,162688.41755649663
<0.15,235122.77922044304,393816.16962810024
0.45-0.6,520400.66396247945,226740.04649894824
