id,long,lat,voltage
80,339942.0580661334,736910.8294260537,132.0
81,258176.60816737244,909457.8705483282,132.0
81,265442.12005160365,897842.7517644082,132.0
82,298125.1387309589,966650.7927083124,275.0
82,287628.50722080196,928070.6139786474,275.0
83,298125.1387309589,966650.7927083124,275.0
83,312170.0260352945,966087.7704116397,275.0
84,316183.1749040606,930246.5654198765,132.0
84,316947.94718238496,951739.4368911542,132.0
85,250754.3977632005,844892.4378979017,132.0
85,240524.93564281933,850364.0058912057,132.0
86,341556.8394852034,730355.2337612357,132.0
86,339084.797851185,729889.1669623607,132.0
87,341556.8394852034,730355.2337612357,132.0
87,343600.57845264266,731095.6024274137,132.0
88,128128.49434125988,846576.5255818638,132.0
88,135526.55234669993,851046.7856815611,132.0
89,259426.88098967553,822391.956100834,132.0
89,251940.30362953254,823829.6948555929,132.0
90,216641.4772386248,679637.0782446458,132.0
90,223265.96429851573,692068.7560575148,132.0
91,388623.483236793,813920.8427391296,132.0
91,377099.6844863732,814294.4622846113,132.0
92,321278.20470656996,864659.5254649235,132.0
92,289785.2628444013,855269.9552417847,132.0
93,321278.20470656996,864659.5254649235,132.0
93,343909.0864811148,850407.0200673454,132.0
94,277205.9440119453,758943.9249577828,132.0
94,276935.96613433235,759132.8397738017,132.0
95,277205.9440119453,758943.9249577828,132.0
95,275905.50775706384,759085.5677639237,132.0
96,277205.9440119453,758943.9249577828,132.0
96,277812.9607061016,754232.1082217679,132.0
97,277205.9440119453,758943.9249577828,132.0
97,256920.38042981012,733897.716502962,132.0
98,270054.4414227795,829352.6249048207,132.0
98,275568.5907585517,825280.4537495917,132.0
99,251940.30362953254,823829.6948555929,275.0
99,250890.92972647437,822487.8828642591,275.0
100,251940.30362953254,823829.6948555929,275.0
100,265211.8076214694,839255.8983322732,275.0
101,232141.42250201723,829248.350740925,275.0
101,235823.87085594737,808347.2567445562,275.0
102,235823.87085594737,808347.2567445562,132.0
102,245231.32503623902,803124.8895607645,132.0
103,235823.87085594737,808347.2567445562,132.0
103,229342.40540726943,797398.1289772122,132.0
104,235823.87085594737,808347.2567445562,132.0
104,229883.1639133016,802599.0069179981,132.0
105,235823.87085594737,808347.2567445562,132.0
105,231101.12885961166,805457.9334575672,132.0
106,235823.87085594737,808347.2567445562,275.0
106,276935.96613433235,759132.8397738017,275.0
107,235823.87085594737,808347.2567445562,400.0
107,246324.32840997545,796324.6625005245,400.0
108,203613.05990471644,724227.5065459016,132.0
108,211700.21204710417,711853.4721611091,132.0
109,203613.05990471644,724227.5065459016,132.0
109,201914.56706006575,731062.048054983,132.0
110,383496.8752768646,785556.3127789292,275.0
110,377099.6844863732,814294.4622846113,275.0
111,383496.8752768646,785556.3127789292,275.0
111,339942.0580661334,736910.8294260537,275.0
112,383496.8752768646,785556.3127789292,275.0
112,292365.7640723237,688313.6296130056,275.0
113,382322.4187455957,781114.5972771302,132.0
113,387142.1508842669,803806.0321774735,132.0
114,256613.00326132355,734085.4443090708,132.0
114,256920.38042981012,733897.716502962,132.0
115,340229.0716101888,737080.2358014358,275.0
115,339942.0580661334,736910.8294260537,275.0
116,387142.1508842669,803806.0321774735,132.0
116,377099.6844863732,814294.4622846113,132.0
117,387142.1508842669,803806.0321774735,132.0
117,352423.5260919806,807011.2839723029,132.0
118,398669.9270824161,866264.2283421219,132.0
118,403090.03410568525,853326.30717607,132.0
119,212233.13007824172,774127.6891612334,132.0
119,229883.1639133016,802599.0069179981,132.0
120,212233.13007824172,774127.6891612334,132.0
120,209523.1958750089,766485.9621361347,132.0
121,262879.3226760011,870062.7515816526,275.0
121,265442.12005160365,897842.7517644082,275.0
122,244999.32016405658,703634.6749158622,132.0
122,232549.34575461916,709274.8767971073,132.0
123,236024.828221649,815516.4267290484,132.0
123,229342.40540726943,797398.1289772122,132.0
124,321083.4394634403,838260.5377231519,132.0
124,343909.0864811148,850407.0200673454,132.0
125,273389.3957225099,829089.625297237,132.0
125,275568.5907585517,825280.4537495917,132.0
126,325620.34742852044,702249.46893013,275.0
126,339942.0580661334,736910.8294260537,275.0
127,287628.50722080196,928070.6139786474,275.0
127,279233.6439397954,907094.5309042676,275.0
128,290983.65576448326,742692.6445615004,132.0
128,277812.9607061016,754232.1082217679,132.0
129,231056.42543725646,861806.4473141832,132.0
129,233063.96535341052,863300.952233377,132.0
130,232209.17580707997,801259.6423178238,132.0
130,229883.1639133016,802599.0069179981,132.0
131,268032.2958589037,841926.2621064181,132.0
131,265211.8076214694,839255.8983322732,132.0
132,268032.2958589037,841926.2621064181,132.0
132,270024.77539479104,841857.5600259525,132.0
133,410712.67035642633,848039.7912961468,132.0
133,412125.356657418,842632.8568387381,132.0
134,410712.67035642633,848039.7912961468,132.0
134,411724.51917996607,846499.5406160746,132.0
135,410712.67035642633,848039.7912961468,132.0
135,407200.80804713065,852936.1822083751,132.0
136,211700.21204710417,711853.4721611091,132.0
136,204354.04316943616,723797.5295171948,132.0
137,211700.21204710417,711853.4721611091,132.0
137,232549.34575461916,709274.8767971073,132.0
138,231620.32369127875,718404.2836564481,132.0
138,232549.34575461916,709274.8767971073,132.0
139,231620.32369127875,718404.2836564481,132.0
139,256920.38042981012,733897.716502962,132.0
140,343909.0864811148,850407.0200673454,132.0
140,370800.78051164054,863384.2601929402,132.0
141,256920.38042981012,733897.716502962,132.0
141,254792.5402983377,734772.3735216308,132.0
142,256920.38042981012,733897.716502962,132.0
142,269284.55392164434,724441.7630737424,132.0
143,204354.04316943616,723797.5295171948,132.0
143,202098.75019998173,720434.4136373394,132.0
144,204354.04316943616,723797.5295171948,132.0
144,201914.56706006575,731062.048054983,132.0
145,219283.51915291965,762008.1100951566,132.0
145,209523.1958750089,766485.9621361347,132.0
146,292365.7640723237,688313.6296130056,275.0
146,339942.0580661334,736910.8294260537,275.0
147,377099.6844863732,814294.4622846113,275.0
147,391730.52113835816,809260.0627433814,275.0
148,377099.6844863732,814294.4622846113,275.0
148,369066.7213231216,835474.9465664253,275.0
149,377099.6844863732,814294.4622846113,275.0
149,339942.0580661334,736910.8294260537,275.0
150,377099.6844863732,814294.4622846113,275.0
150,412125.356657418,842632.8568387381,275.0
151,265211.8076214694,839255.8983322732,275.0
151,275568.5907585517,825280.4537495917,275.0
152,229342.40540726943,797398.1289772122,132.0
152,228703.3610446051,808347.2263749037,132.0
153,265442.12005160365,897842.7517644082,132.0
153,316947.94718238496,951739.4368911542,132.0
154,265442.12005160365,897842.7517644082,132.0
154,257230.45526866283,897413.0014607094,132.0
155,265442.12005160365,897842.7517644082,275.0
155,279233.6439397954,907094.5309042676,275.0
156,229883.1639133016,802599.0069179981,132.0
156,231101.12885961166,805457.9334575672,132.0
