node_number,longitude,latitude,Mar-89,11years,22years,33years,55years,110years,1000years,10000years,100000years,1000000years
330,-0.415399,53.800702,51.94258005,13.86347462,41.16968895,47.50148946,54.55529183,63.40630747,90.01129698,117.2136262,144.4263438,171.6390615
333,-4.3643,55.8211,2.111931687,0.563674567,1.673917055,1.931361528,2.218161851,2.578035011,3.659766421,4.765785046,5.872226057,6.978667068
336,-5.458544444,55.69688611,14.02449147,3.743136773,11.11581194,12.82539745,14.72992339,17.11969674,24.30304127,31.64766745,38.99509853,46.34252961
339,-5.458544444,55.69688611,0,0,0,0,0,0,0,0,0,0
342,-2.5394,55.9152,53.61432313,14.30966284,42.49471251,49.0302985,56.31112358,65.44700424,92.90826055,120.9860816,149.0746255,177.1631693
345,-2.5394,55.9152,0,0,0,0,0,0,0,0,0,0
348,-4.7026,57.4255,4.488840616,1.19807156,3.557855072,4.105044743,4.714629299,5.47952774,7.778711903,10.12951773,12.48122133,14.83292493
351,-3.98,55.95,27.57016442,7.358476884,21.85211232,25.21291536,28.95694369,33.65489971,47.77633792,62.21483303,76.65884217,91.10285131
354,-3.035,56.3142,23.10123975,6.165720888,18.31004262,21.12608375,24.26323211,28.19968336,40.03213836,52.13025761,64.23299711,76.33573662
357,-3.3087,55.9022,7.180391187,1.916446408,5.691178054,6.56646774,7.541564863,8.765103521,12.44289989,16.20327075,19.96507769,23.72688464
360,-3.3087,55.9022,0,0,0,0,0,0,0,0,0,0
363,-3.4198,57.5565,8.688783677,2.319036364,6.886729943,7.945892673,9.125829496,10.60639824,15.05679323,19.60710925,24.15916302,28.71121678
366,-4.20339,55.83535,13.57367787,3.622814625,10.75849708,12.41312842,14.25643387,16.56938858,23.52182639,30.63036149,37.74161133,44.85286117
369,-4.20339,55.83535,0,0,0,0,0,0,0,0,0,0
372,-4.8388,57.405,9.945793861,2.654532381,7.883036214,9.095428486,10.44606729,12.14083057,17.23506618,22.44367843,27.65427983,32.86488123
375,-3.889583333,56.03883056,27.47251164,7.332413356,21.77471272,25.12361189,28.85437897,33.53569496,47.60711542,61.99446976,76.38731861,90.78016746
378,-3.889583333,56.03883056,0,0,0,0,0,0,0,0,0,0
381,-4.203794444,55.37269167,11.84979059,3.162709107,9.392144018,10.83663349,12.44583505,14.46503937,20.53450211,26.74023744,32.94834272,39.15644801
384,-4.7063,55.9148,16.67858671,4.451514792,13.21944782,15.25256754,17.51751962,20.35955079,28.90232291,37.63689877,46.37481034,55.11272192
387,-4.7063,55.9148,0,0,0,0,0,0,0,0,0,0
390,-3.7792,56.1373,8.284130006,2.211034299,6.566001443,7.57583689,8.700821745,10.1124375,14.35556889,18.69396777,23.03402348,27.37407919
393,-3.209,55.94717,11.68573893,3.118923719,9.262116672,10.68660825,12.27353159,14.26478151,20.25021698,26.37003846,32.49219708,38.6143557
396,-3.097,57.379,8.498556112,2.268264626,6.735955574,7.771929565,8.926033485,10.37418745,14.72714789,19.17784172,23.63023527,28.08262882
399,-3.7535,58.57589,37.22105357,9.934299199,29.50140706,34.03865349,39.09327257,45.4357401,64.50036374,83.99302949,103.4931395,122.9932494
402,-3.7535,58.57589,0,0,0,0,0,0,0,0,0,0
406,-1.65459,52.77259,15.58756082,4.160319982,12.3547007,14.25482437,16.37161513,19.02773549,27.01168414,35.17488974,43.34121285,51.50753597
410,-0.99338,53.73516,19.17204614,5.117019115,15.19576377,17.53283619,20.13640006,23.40331672,33.22323876,43.26363932,53.30787429,63.35210926
413,-3.5876,55.906453,16.16761393,4.315136158,12.8144508,14.78528294,16.98084491,19.73580633,28.01685818,36.4838376,44.95405054,53.42426347
416,-4.3489,55.9157,4.740198191,1.265158897,3.757081086,4.334911246,4.97863016,5.786359932,8.214289445,10.69673124,13.18012107,15.6635109
419,-3.4298,58.2529,15.38538905,4.106360338,12.19445936,14.06993829,16.15927412,18.78094442,26.66134069,34.71866894,42.77907426,50.83947959
422,-2.95,56.4617,10.54382427,2.814146699,8.35703512,9.642327299,11.07417864,12.87084629,18.27139308,23.79319386,29.31710339,34.84101293
